year,state_name,district_name,district_code,block_name,block_code,village_name,village_code,N,N_low_pct,N_medium_pct,N_high_pct,N_samples,P,P_low_pct,P_medium_pct,P_high_pct,P_samples,K,K_low_pct,K_medium_pct,K_high_pct,K_samples,ph,ph_acidic_pct,ph_neutral_pct,ph_alkaline_pct,ph_samples,organic_carbon_pct,zinc_deficient_pct,iron_deficient_pct,boron_deficient_pct,copper_deficient_pct,manganese_deficient_pct,sulphur_deficient_pct,deficient_micronutrients,saline_pct,total_samples
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Shivpur,347224,12.0,100.0,0.0,0.0,3,51.0,0.0,100.0,0.0,3,32.0,0.0,100.0,0.0,3,6.8,0.0,100.0,0.0,3,0.4333333333333333,66.7,0.0,0.0,0.0,0.0,0.0,Zinc,0.0,36
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Deodih,347225,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,32.0,0.0,100.0,0.0,1,6.8,0.0,100.0,0.0,1,0.9,100.0,0.0,0.0,0.0,0.0,0.0,Zinc,0.0,12
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Gosang,347230,17.07246376811594,79.7,20.3,0.0,138,52.69565217391305,0.0,93.5,6.5,138,29.565217391304348,17.4,82.6,0.0,138,6.702173913043478,6.5,93.5,0.0,138,0.5931159420289854,18.8,0.7,28.3,0.7,0.0,0.7,,1.4,1656
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Khutheria,347231,19.142857142857142,71.4,28.6,0.0,14,51.0,0.0,100.0,0.0,14,27.0,35.7,64.3,0.0,14,6.371428571428572,28.6,71.4,0.0,14,0.6071428571428571,7.1,0.0,0.0,0.0,0.0,0.0,,0.0,168
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Kusha,347232,24.5,50.0,50.0,0.0,6,51.0,0.0,100.0,0.0,6,29.666666666666668,16.7,83.3,0.0,6,6.55,16.7,83.3,0.0,6,0.6083333333333333,16.7,0.0,0.0,0.0,0.0,0.0,,0.0,72
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Sanni,347233,37.0,0.0,100.0,0.0,1,51.0,0.0,100.0,0.0,1,32.0,0.0,100.0,0.0,1,6.8,0.0,100.0,0.0,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Hariganwan,347234,16.166666666666668,83.3,16.7,0.0,12,53.166666666666664,0.0,91.7,8.3,12,30.833333333333332,8.3,91.7,0.0,12,6.8,0.0,100.0,0.0,12,0.6124999999999999,33.3,0.0,0.0,0.0,0.0,0.0,,0.0,144
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Sabua,347235,12.0,100.0,0.0,0.0,2,77.0,0.0,0.0,100.0,2,25.0,50.0,50.0,0.0,2,6.8,0.0,100.0,0.0,2,0.475,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Pataria,347236,15.571428571428571,85.7,14.3,0.0,7,51.0,0.0,100.0,0.0,7,24.0,57.1,42.9,0.0,7,6.8,0.0,100.0,0.0,7,0.5714285714285714,0.0,0.0,14.3,0.0,0.0,0.0,,0.0,84
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Misraulia,347241,12.0,100.0,0.0,0.0,2,51.0,0.0,100.0,0.0,2,32.0,0.0,100.0,0.0,2,6.8,0.0,100.0,0.0,2,0.475,0.0,0.0,50.0,0.0,0.0,0.0,Boron,0.0,24
